,PICP_train,PINRW_train,PICP_test,PINRW_test
0,1.0,0.3385932743549347,0.97679114,0.3290397
1,0.0,0.0007428543176501,0.0,0.0020992144
2,0.3067300319671631,0.0264553502202034,0.0010090817,0.037688434
3,0.1288466453552246,0.0126557415351271,0.0,0.0364511
4,0.023017287254333607,0.0092190485447645,0.0,0.02876116
5,0.4123092293739319,0.0267342664301395,0.16145308,0.01888401
6,0.9987490773200989,0.2660433351993561,0.9354188,0.26062074
7,0.2106580138206482,0.0158310160040855,0.19071645,0.024709564
8,0.9997498393058777,0.3230668604373932,0.9354188,0.25420928
9,0.9989992380142212,0.2930577397346496,0.9737639,0.31834844
10,0.5236427187919617,0.0362005829811096,0.22805247,0.027953424
11,0.2912184000015259,0.0235867351293563,0.0,0.032893404
12,0.14686012268066406,0.0137463808059692,0.004036327,0.01450573
13,0.9994996190071106,0.3064503073692322,0.97679114,0.34716636
14,0.2406805157661438,0.0209604185074567,0.0,0.03373026
15,0.4831123352050781,0.0334259495139122,0.209889,0.02447131
16,0.9969977736473083,0.2391961067914962,0.9112008,0.19633588
17,0.9737303256988527,0.145518958568573,0.90918267,0.20258693
18,0.8679009079933167,0.0812099054455757,0.5792129,0.08501964
19,0.9702276587486268,0.1329321414232254,0.81432897,0.14961906
20,0.7980985641479493,0.0693710446357727,0.47225025,0.056859534
21,0.5456592440605164,0.0409314781427383,0.16145308,0.020558247
22,0.9892419576644897,0.1857651770114898,0.926337,0.20463064
23,0.9407055377960206,0.108599841594696,0.7719475,0.10732837
24,0.5999499559402466,0.0476426817476749,0.19576186,0.02699161
25,0.9509631991386414,0.1181572750210762,0.58224016,0.11625002
26,0.4580935835838318,0.0305169019848108,0.19677094,0.022320475
27,0.8408806324005127,0.0759413316845893,0.5913219,0.08468297
28,0.4155616760253906,0.0293943639844656,0.15943491,0.019119395
29,0.997498095035553,0.2548438906669616,0.95862764,0.27166206
30,0.5666750073432922,0.0425361506640911,0.14328961,0.019065477
31,0.7538153529167176,0.0606867633759975,0.4641776,0.0566934
32,0.9899924993515015,0.1986805498600006,0.93743694,0.23500483
33,0.9859895110130311,0.1714471131563186,0.9152371,0.19982275
34,0.7703277468681335,0.0641030296683311,0.43895057,0.054665815
35,0.5891919136047363,0.0439378470182418,0.25428858,0.029807542
36,0.6649987697601318,0.0511646717786788,0.3047427,0.035662357
37,0.7345508933067322,0.0586256608366966,0.43390515,0.052989114
38,0.8298724293708802,0.0734581649303436,0.6004036,0.07847026
39,0.9852389097213746,0.1627769619226455,0.9021191,0.18149607
40,0.9889917373657227,0.178318902850151,0.8405651,0.18712436
41,0.22942209243774414,0.0200911909341812,0.0,0.037031706
42,0.7162871956825256,0.0573011599481105,0.34712413,0.042586345
43,0.9662246704101562,0.1261346936225891,0.7558022,0.1350153
44,0.7793344855308533,0.0687893256545066,0.5449041,0.06599797
45,0.6367275714874268,0.0477345176041126,0.2926337,0.033585355
46,0.8981736302375793,0.0911667868494987,0.7245207,0.0941662
47,0.9802351593971252,0.1516256779432296,0.8234107,0.15522264
48,0.9992494583129883,0.2977553904056549,0.97578204,0.33086875
49,0.993995487689972,0.2179717570543289,0.9656912,0.30426812
50,0.8766574859619141,0.085846371948719,0.5691221,0.07046221
51,0.9592193961143494,0.1219513341784477,0.6952573,0.122921504
52,0.6402301788330078,0.0486412160098552,0.24016145,0.02982899
53,0.9104328155517579,0.0943988561630249,0.7376388,0.09696707
54,0.6980234980583191,0.0557313077151775,0.27547932,0.032981552
55,0.9839879870414734,0.1564256399869918,0.89808273,0.17554381
56,0.9134351015090942,0.0989028066396713,0.6750757,0.08524901
57,0.8884162902832032,0.0874256938695907,0.6740666,0.086693406
58,0.0005003809928894043,0.005031538195908,0.0010090817,0.0074114
59,0.9191893935203553,0.1040967404842376,0.75277495,0.100643516
60,0.021766304969787598,0.005909529980272,0.004036327,0.01107828
61,0.9279459714889527,0.1060753613710403,0.7214934,0.10985321
62,0.9949962496757508,0.223781868815422,0.76992935,0.15662213
63,0.9977483153343201,0.2576237618923187,0.81331986,0.14952682
64,0.4645984172821045,0.0324154086410999,0.24217962,0.029197477
65,0.9919940233230591,0.2020373791456222,0.9434914,0.2691296
66,0.6775081157684326,0.0523129515349864,0.3602422,0.04326805
67,0.9959970116615297,0.2321933805942535,0.8577195,0.17271183
68,0.6857643127441406,0.0547701828181743,0.3148335,0.03824294
69,0.9937453269958497,0.21071757376194,0.94147325,0.2633051
70,0.9927445650100709,0.2086324542760849,0.9566095,0.28797105
71,0.9954966306686402,0.2291343957185745,0.8668012,0.1653317
72,0.13760322332382202,0.0134986899793148,0.0030272452,0.015475072
